         1464358 function calls (1453385 primitive calls) in 16.138 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       80    0.001    0.000    0.004    0.000 pydevd.py:314(can_exit)
        1    0.000    0.000    0.004    0.004 datetimes.py:288(_convert_and_box_cache)
       12    0.002    0.000    0.004    0.000 netCDF4_.py:501(prepare_variable)
      152    0.000    0.000    0.004    0.000 indexes.py:578(__init__)
      244    0.000    0.000    0.004    0.000 pathlib.py:437(__str__)
        8    0.000    0.000    0.003    0.000 _build_tlz.py:15(_load_toolz)
       30    0.000    0.000    0.003    0.000 duck_array_ops.py:335(where_method)
      152    0.001    0.000    0.003    0.000 indexes.py:686(create_variables)
        1    0.000    0.000    0.003    0.003 pc2tsf_profiler.py:173(construct_full_freqs)
        6    0.000    0.000    0.003    0.001 glob.py:105(_glob1)
     1405    0.001    0.000    0.003    0.000 utils.py:77(is_duck_array)
       61    0.000    0.000    0.003    0.000 indexing.py:563(__getitem__)
       10    0.000    0.000    0.003    0.000 variable.py:201(_possibly_convert_objects)
3247/3239    0.001    0.000    0.003    0.000 abc.py:117(__instancecheck__)
       19    0.000    0.000    0.003    0.000 _parser.py:962(parse)
   120/95    0.000    0.000    0.003    0.000 copy.py:247(_reconstruct)
       46    0.000    0.000    0.003    0.000 variable.py:2689(copy)
       73    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
      122    0.002    0.000    0.003    0.000 __init__.py:347(__new__)
        2    0.000    0.000    0.003    0.002 __init__.py:40(__getattr__)
       70    0.000    0.000    0.003    0.000 duck_array_ops.py:222(as_shared_dtype)
        1    0.000    0.000    0.003    0.003 series.py:4620(map)
       25    0.000    0.000    0.003    0.000 indexes.py:1799(isel_indexes)
    60/19    0.000    0.000    0.003    0.000 _parser.py:445(_parse_sub)
      161    0.001    0.000    0.003    0.000 construction.py:517(sanitize_array)
       25    0.000    0.000    0.003    0.000 indexes.py:1775(_apply_indexes)
        6    0.000    0.000    0.003    0.001 construction.py:96(arrays_to_mgr)
      122    0.000    0.000    0.003    0.000 __init__.py:310(_from_text_for)
       61    0.001    0.000    0.003    0.000 indexing.py:526(_updated_key)
       28    0.000    0.000    0.003    0.000 alignment.py:515(_get_indexes_and_vars)
   102/19    0.001    0.000    0.003    0.000 _parser.py:505(_parse)
      183    0.000    0.000    0.003    0.000 pathlib.py:551(drive)
      413    0.001    0.000    0.003    0.000 indexing.py:368(__init__)
        1    0.000    0.000    0.003    0.003 base.py:891(_map_values)
        1    0.000    0.000    0.003    0.003 datetimes.py:209(_maybe_cache)
        1    0.000    0.000    0.003    0.003 _mixins.py:78(method)
1903/1104    0.001    0.000    0.003    0.000 utils.py:618(shape)
        1    0.000    0.000    0.003    0.003 datetimelike.py:736(map)
       19    0.000    0.000    0.003    0.000 coordinates.py:947(create_coords_with_default_indexes)
        1    0.000    0.000    0.003    0.003 local.py:1(<module>)
      183    0.000    0.000    0.003    0.000 pathlib.py:407(_load_parts)
       43    0.000    0.000    0.003    0.000 indexes.py:601(from_variables)
        1    0.000    0.000    0.003    0.003 highlevelgraph.py:1(<module>)
        1    0.000    0.000    0.003    0.003 algorithms.py:1667(map_array)
      312    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:304(acquire)
       30    0.001    0.000    0.003    0.000 duck_array_ops.py:329(where)
       57    0.000    0.000    0.003    0.000 parser.py:427(parse_block_mapping_key)
       10    0.000    0.000    0.003    0.000 api.py:351(_dataset_from_backend_dataset)
       20    0.000    0.000    0.003    0.000 array_ops.py:240(arithmetic_op)
      290    0.000    0.000    0.003    0.000 __init__.py:312(<genexpr>)
       18    0.000    0.000    0.003    0.000 timedeltas.py:246(_convert_listlike)
       40    0.000    0.000    0.003    0.000 indexing.py:699(__getitem__)
        1    0.000    0.000    0.002    0.002 plugins.py:106(build_engines)
       45    0.000    0.000    0.002    0.000 variable.py:670(_broadcast_indexes_outer)
      161    0.002    0.000    0.002    0.000 pydevd_daemon_thread.py:107(new_threading_enumerate)
        1    0.000    0.000    0.002    0.002 readers.py:1575(__init__)
3247/3239    0.001    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
      122    0.000    0.000    0.002    0.000 pathlib.py:447(__fspath__)
        5    0.000    0.000    0.002    0.000 frame.py:5095(insert)
  135/120    0.000    0.000    0.002    0.000 copy.py:200(_deepcopy_tuple)
        6    0.000    0.000    0.002    0.000 std.py:760(get_lock)
       21    0.000    0.000    0.002    0.000 dataclasses.py:449(_create_fn)
       85    0.000    0.000    0.002    0.000 indexes.py:843(_copy)
        1    0.000    0.000    0.002    0.002 std.py:90(__init__)
        1    0.000    0.000    0.002    0.002 std.py:116(create_mp_lock)
       10    0.000    0.000    0.002    0.000 api.py:236(_protect_dataset_variables_inplace)
        1    0.000    0.000    0.002    0.002 context.py:70(RLock)
      290    0.000    0.000    0.002    0.000 __init__.py:316(<genexpr>)
       37    0.000    0.000    0.002    0.000 tokenize.py:176(normalize_builtin_function_or_method)
       29    0.000    0.000    0.002    0.000 base.py:5552(equals)
      184    0.001    0.000    0.002    0.000 indexing.py:464(get_duck_array)
